Brand:,Product name,Processor,Video graphics,RAM,Hard drive,Display,Display Resolution,Operating System,Keyboard,Battery,Webcam,Connections,Dimensions,Weight,Colors,Warranty,Price,Processor Details,Power supply type,Laptop Color,Finger Print,Pointing device,Optical drive,Series :,Brand:_encoded,Video graphics_encoded,Display_encoded,Colors_encoded,Display Resolution_encoded,Operating System_encoded,Keyboard_encoded,Battery_encoded,Webcam_encoded,Connections_encoded,Processor Details_encoded,Weight_numeric,Price_bin
Lenovo,LOQ 15IAX9E,Intel® Core™ i5-12450HX,Nvidia GeForce RTX 3050 6GB,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz",1920 x 1080,Windows 11 Home,"White Backlit, Arabic",Integrated 57Wh,HD 720p with Privacy Shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 5Gbps / USB 3.2 Gen 1), data transfer only 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Card reader 1x Power connector",359.3 x 236 x 19.9-22.95 mm,1.77 kg,Luna Grey,2 Years,-0.48653153771010843,"8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB",,,,,,,6,220,169,64,5,19,217,212,73,413,324,1.77,Low
HP,Victus 16-r1066ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″diagonal, FHD , 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080,DOS,"Full-size, backlit, moonstone gray keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.31 kg,Mica silver,1 Year,-0.27416943503458036,"up to 4.8 GHz with Intel® Turbo Boost Technology, 20 MB L3 cache, 10 cores, 16 threads",,,,,,,3,109,552,69,5,0,133,112,90,45,410,2.31,Low
HP,Victus 16-r1062ne,Intel® Core™ i5-14450HX,NVIDIA® GeForce RTX™ 3050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″ diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080),DOS,"Full-size, backlit, performance blue opaque keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.31 kg,Performance blue,1 Year,-0.27416943503458036,"up to 4.8 GHz with Intel® Turbo Boost Technology, 20 MB L3 cache, 10 cores, 16 threads",,,,,,,3,109,551,90,6,0,141,112,90,45,410,2.31,Low
HP,Victus 15-fa1103ne,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6″ FHD (1920 × 1080), IPS, 144 Hz, 9 ms, anti-glare, 250 nits, 45% NTSC",1920 x 1080,DOS,"Full-size, backlit, performance blue keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",357 x 255 x 23.5 mm,2.29 kg,Performance blue,1 Year,-0.43113513685565996,"up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 8 cores, 12 threads",,,,,,,3,109,429,90,5,0,140,112,101,47,397,2.29,Low
HP,VICTUS 15-FA1112NIA,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 3050,8 GB DDR4-3200 MT/s (1 x 8 GB) Transfer rates up to 3200 MT/s. 1 x 8 GB,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6″ FHD (1920×1080), IPS, 144 Hz, 250 nits, 45% NTSC, anti-glare",1920 x 1080,DOS,"Full-size, backlit, mica silver keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",255 × 357 × 23.5 mm,2.29 kg,Mica silver,1 Year,-0.43113513685565996,"up to 4.6 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 8 cores, 12 threads",,,,,,,3,109,430,69,5,0,132,112,101,47,397,2.29,Low
HP,OMEN Slim 16-an0119nrav,Intel® Core™ Ultra 9 285H,NVIDIA® GeForce RTX™ 5070,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16"" diagonal WQXGA display",2560 x 1600,Windows11 Home,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric keypad and 26-Key Rollover Anti-Ghosting Key technology","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 10Gbps signaling rate; 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)",357 x 268 x 19.8 mm,2.42 kg,Shadow black,1 Year,1.590833494331708,"up to 5.4 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 16 cores, 16 threads",,,,,,,3,158,489,109,19,30,126,112,90,39,422,2.42,Low
HP,OMEN 16-AP0097NR,AMD Ryzen™ AI 9 365,NVIDIA® GeForce RTX™ 5070,32 GB DDR5-5600 MT/s (2 x 16 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16"" diagonal, WQXGA , 60-240 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 500 nits, 100% sRGB",2560 x 1600,Windows11 Home,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric keypad and 26-Key Rollover Anti-Ghosting Key technology","6-cell, 83 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 10Gbps signaling rate; 2 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45; 1 USB Type-C® 10Gbps signaling rate (USB Power Delivery 3.0, DisplayPort™ 1.4, HP Sleep and Charge)[19,42]",357 x 268 x 23.8 mm,2.44kg,Shadow Black,1 Year,1.5354370934772594,"up to 5.0 GHz max boost clock, 24 MB L3 cache, 10 cores, 20 threads",,,,,,,3,158,492,107,19,30,126,165,90,40,415,2.44,Low
Lenovo,Legion 5 15IRX10,Intel® Core i9-14900HX,NVIDIA® GeForce RTX™ 5070,1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.1"" WQXGA OLED 1000nits (peak) / 500nits (typical) glossy, 100% DCI-P3, 165Hz, Dolby Vision®, DisplayHDR™ True Black 600",2560x1600,Windows 11 Home,"24-Zone RGB Backlit, English",80Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz",344.9 x 255.35 x 19.95-21.54 mm,1.9 kg,Eclipse Black,1 Year,1.618531694758932,"24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB",,,,,,,6,158,128,42,22,19,2,187,19,412,209,1.9,Low
ASUS,ROG Zephyrus G16 GA605KP-AI327W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5070 Laptop GPU,32GB LPDDR5X 7500 on board(Actual memory speeds may vary by CPU configuration.),1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch 2.5K , WQXGA) 16:10 aspect ratio",2560 x 1600,Windows 11 Home,"Non-backlit, Arabic","90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery (data speed up to 10Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x card reader (SD,354 x 246 x 14.9 x 16.4 mm,1.85 Kg,Gray,1 year,1.5410044317631315,"2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 50TOPS",,,,,,,0,159,505,49,19,19,170,192,3,232,130,1.85,Low
Lenovo,Legion Pro 7 16IAX10H,Intel® Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5080,2x 32GB CSODIMM DDR5-6400,2x 1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA OLED 500nits (Typical) / 1100nits (Peak) Glossy, 100% DCI-P3, 240Hz, DisplayHDR™ True Black 1000, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance, Flicker Free",2560x1600,Windows® 11 Pro,"Per-key RGB Backlit, English",99.9Wh,5.0MP with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 10Gbps / USB 3.2 Gen 2), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 65-100W and DisplayPort™ 2.1 1x Thunderbolt™ 4 / USB4® 40Gbps (support data transfer and DisplayPort™ 2.1) 1x HDMI® 2",364.38 x 275.94 x 21.9-26.65 mm,2.57 kg,Eclipse Black,1 Year,4.305284834400108,"24C (8P + 16E) / 24T, Max Turbo up to 5.4GHz, 36MB",,,,,,,6,163,480,42,22,32,185,197,19,407,207,2.57,Medium
HP,Victus 16-r1046ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 MT/s (2 x 8 GB) Transfer rates up to 5600 MT/s. 2 x 8 GB,1 TB PCIe® Gen4 NVMe™ M.2 SSD,"16.1″ diagonal, FHD (1920 x 1080), 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080,DOS,"Full-size, backlit, performance blue opaque keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.33 kg,Performance blue,1 Year,0.12282887168882435,"up to 5.5 GHz with Intel® Turbo Boost Technology, 33 MB L3 cache, 20 cores, 28 threads",,,,,,,3,138,550,90,5,0,141,112,90,45,424,2.33,Low
ASUS,ROG Strix G16 G614PR-RV161W,AMD Ryzen™ 9 8940HX,NVIDIA® GeForce RTX™ 5070 Ti,16GB DDR5-5200 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 3ms G-Sync",1920 x 1200,Windows 11 Home,Backlit Chiclet Keyboard 4-Zone RGB Touchpad,"90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 40Gbps) 1x Type-C USB 4 with support for DisplayPort™ / G-SYNC (data spee,354 x 264 x 22.6 x 30.4 mm,2.50 Kg,Eclipse Gray,سنه,1.6545670535147508,"2.4GHz (80MB Cache, up to 5.3GHz, 16 cores, 32 Threads)",,,,,,,0,160,513,43,7,19,43,192,7,140,166,2.5,Low
ASUS,ROG Strix G16 G614FP-GR169W,AMD Ryzen 9 9955HX,NVIDIA® GeForce RTX™ 5070,16GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) 165Hz, 3ms IPS-level 300nits 100% SRGB",1920 x 1200,Windows® 11 Home,Backlit Chiclet Keyboard 4-Zone RGB,"90WHrs, 4S1P, 4-cell Li-ion",1080p FHD camera,1x RJ45 LAN port 1x Type-C USB 4 with support for DisplayPort™ (data speed up to 40Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed up to 40Gbps) 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps),354 x 264 x 22.6 ~ 30.4 mm,2.50 Kg,Eclipse Gray,1 Year,1.452370190396014,"2.5GHz (80MB Cache, up to 5.4GHz, 16 cores, 32 Threads",,,,,,,0,158,510,43,7,31,42,192,7,191,175,2.5,Low
ASUS,TUF Gaming A16 FA608UH-RV007W,AMD Ryzen™ 7 260,NVIDIA® GeForce RTX™ 5050,16GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch, FHD+ 16:10 , WUXGA), IPS-level, Anti-glare display, sRGB:100%, Adobe:75.35%, Refresh Rate:165Hz, Response Time:3ms, G-Sync, MUX Switch",1920 x 1200,Windows11 Home,Backlit Chiclet Keyboard 1-Zone RGB Touchpad With Copilot key,"90WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x USB 2.0 Type-A (data speed up to 480Mbps) 1x Type-C US,354 x 269 x 17.9 x 179 mm,2.20 Kg,Grey,1 Year,0.18376491262871764,"3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 16TOPS AMD Ryzen™ 7 H 260 Processor 3.8GHz (24MB Cache, up to 5.1 GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 16TOPS",,,,,,,0,154,519,53,7,30,37,192,3,146,243,2.2,Low
ASUS,TUF Gaming A14 FA401KH-RG019W,AMD Ryzen™ AI 7 350,NVIDIA® GeForce RTX™ 5050,"16GB*2 LPDDR5X 7500 on board, Max Capacity",1TB PCIe® 4.0 NVMe™ M.2 SSD,"14-inch, 2.5K (2560 x 1600, WQXGA) 16:10 aspect ratio, IPS-level, Anti-glare display",2560 x 1600,Windows 11 Home,"Non-backlit, Arabic","73WHrs, 4S1P, 4-cell Li-ion",1080P FHD IR Camera for Windows Hello,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / G-SYNC (data speed up to 10Gbps) 1x Type-C USB 4 with support for DisplayPort™ / power delivery (data speed,311 x 227 x 16.9 x 19.9 mm,1.46 Kg,Grey,1 Year,0.4829054772427392,"2.0GHz (24MB Cache, up to 5.0GHz, 8 cores, 16 Threads); AMD XDNA™ NPU up to 50TOPS",,,,,,,0,154,85,53,19,19,170,180,3,142,130,1.46,Low
